Fecha;Medio;Titular;URL;Tipo
2/03/2026;eltiempo.com;Paseos millonarios: ¿qué tanto ayudan las medidas de la Alcaldía de Bogotá?;https://www.eltiempo.com/bogota/paseos-millonarios-que-tanto-ayudan-las-medidas-de-la-alcaldia-de-bogota-3536746;Internet
7/03/2026;semana.com;Pico y placa solidario en Bogotá: el mecanismo de recaudo que no descongestiona a la ciudad;https://www.semana.com/nacion/bogota/articulo/pico-y-placa-solidario-en-bogota-el-mecanismo-de-recaudo-que-no-descongestiona-a-la-ciudad/202606/;Internet
7/03/2026;Revista Semana;Pico y placa no tan solidario;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1657202065;Prensa
3/03/2026;El Tiempo;Paseos millonarios: ¿qué tanto ayudan las medidas de la Alcaldía?;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1653932992;Prensa
9/03/2026;eltiempo.com;La disyuntiva de Juan Daniel Oviedo tras erigirse como fenómeno de las consultas: ¿fórmula de Paloma Valencia o candidato a la Alcaldía de Bogotá?;https://www.eltiempo.com/politica/elecciones-colombia-2026/la-disyuntiva-de-juan-daniel-oviedo-tras-erigirse-como-fenomeno-de-las-consultas-formula-de-paloma-valencia-o-candidato-a-la-alcaldia-de-bogota-3538654;Internet
3/03/2026;Infobae;Aliste el bolsillo porque este año le saldrá más caro vivir en Bogotá: este es el cálculo;https://www.infobae.com/colombia/2026/03/03/aliste-el-bolsillo-porque-este-ano-le-saldra-mas-caro-vivir-en-bogota-este-es-el-calculo/;Internet
29/03/2026;eltiempo.com;Opinión | ¿Por qué los delincuentes perdieron el miedo a la autoridad?;https://www.eltiempo.com/bogota/opinion-por-que-los-delincuentes-perdieron-el-miedo-a-la-autoridad-3543907;Internet
9/03/2026;Otros TV;(Canal El Tiempo) Análisis tras resultados de las elecciones legislativas;https://a.eprensa.com/view_pdf.php?sid=23130&cid=1658325437;TV
9/03/2026;eltiempo.com;Los grandes ganadores y perdedores que dejan las elecciones a Cámara de Representantes por Bogotá;https://www.eltiempo.com/bogota/los-grandes-ganadores-y-perdedores-que-dejan-las-elecciones-a-camara-de-representantes-por-bogota-3538822;Internet
9/03/2026;eltiempo.com;Diez lecciones de los resultados electorales en Bogotá;https://www.eltiempo.com/bogota/diez-lecciones-de-los-resultados-electorales-en-bogota-3538865;Internet
9/03/2026;eltiempo.com;La disyuntiva de Juan Daniel Oviedo tras erigirse como fenómeno de las consultas: ¿fórmula de Paloma Valencia o candidato a la Alcaldía de Bogotá?;https://www.eltiempo.com/politica/elecciones-colombia-2026/la-disyuntiva-de-juan-daniel-oviedo-tras-erigirse-como-fenomeno-de-las-consultas-formula-de-paloma-valencia-o-candidato-a-la-alcaldia-de-bogota-3538654;Internet
12/03/2026;eltiempo.com;Así votó localidad por localidad en Bogotá por los partidos y candidatos a la Cámara en las elecciones del domingo;https://www.eltiempo.com/bogota/asi-voto-localidad-por-localidad-en-bogota-por-los-partidos-y-candidatos-a-la-camara-en-las-elecciones-del-domingo-3539698;Internet
13/03/2026;eltiempo.com;Alcalde Carlos Fernando Galán se queja de que la Policía realiza capturas, pero delincuentes quedan en libertad por…;https://www.eltiempo.com/bogota/alcalde-carlos-fernando-galan-se-queja-de-que-la-policia-realiza-capturas-pero-delincuentes-quedan-en-libertad-por-decisiones-de-jueces-y-fiscales-3540077;Internet
14/03/2026;El Tiempo;Galán invitó a congresistas a tener una agenda común en la lucha contra el delito;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1662106913;Prensa
15/03/2026;eltiempo.com;Seguridad en Bogotá: ¿faltan leyes o falta gestión?;https://www.eltiempo.com/bogota/seguridad-en-bogota-faltan-leyes-o-falta-gestion-3540354;Internet
17/03/2026;Canal Caracol;Experto y académicos explican los retos y los posibles caminos para minimizar la inseguridad en Bogotá ( Omar Oróstegui Laboratorio de Gobierno Universidad de la Sabana - Jorge Mantilla Investigador Crimen Organizado  - Eliecer Camacho Excomandante Policía de Bogotá - Andrés Macías Investigador universidad Externado de Colombia );https://a.eprensa.com/view_pdf.php?sid=23130&cid=1664206354;TV
6/04/2026;El Tiempo;OPINION Domicilios sin control: la otra cara del ‘éxito’ de las plataformas;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1675359917;Prensa
5/04/2026;eltiempo.com;Opinión | Domicilios sin control: la otra cara del `éxito' de las plataformas;https://www.eltiempo.com/bogota/opinion-domicilios-sin-control-la-otra-cara-del-exito-de-las-plataformas-3545441;Internet
12/04/2026;elnuevosiglo.com.co;Proceso de paz urbana es un peligro para la democracia : Medellín;https://www.elnuevosiglo.com.co/nacion/el-proceso-de-paz-urbana-es-un-peligro-para-la-democracia-y-para-el-proceso-electoral;Internet
26/04/2026;eltiempo.com;Opinión| El nuevo pulso por el espacio público en Bogotá;https://www.eltiempo.com/bogota/opinion-el-nuevo-pulso-por-el-espacio-publico-en-bogota-3551027;Internet
11/04/2026;El Nuevo Siglo;El proceso de “paz urbana” es un “peligro para la democracia y para el proceso electoral”: Medellín;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1678881365;Prensa
20/04/2026;El Tiempo;COLUMNA DE OPINION Balaceras, atracos y sicariato;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1684026805;Prensa
17/04/2026;larepublica.co;Ciudades dentro del Valle de Aburrá tuvieron el aire más contaminado durante 2025;https://www.larepublica.co/responsabilidad-social/ciudades-dentro-del-valle-de-aburra-tuvieron-el-aire-mas-contaminado-durante-2025-4373240;Internet
17/04/2026;La República;Ciudades del Valle de Aburrá tuvieron el aire más contaminado durante 2025;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1682506404;Prensa
